,,,,,,,,,,,MAGP-G-100-LQ-6431-307,
,,,,,,,Project: EPC Demo Buoy,,,,,
,,,,,E-Tower,,,,,,,
,,,,,,,,,,,,
SL. NO,REV,"TECHNICAL 
PARTICULARS","PURCHASER'S
REQUIREMENTS",UNIT,"VENDOR'S
RESPONSE",,,,,,
,,,,,,,,,,,,
Equipment Description/Tag No.:  66kV/11kV Power Transformer / Tag No. TBD,,,,,,,,,,,,
,,,,,,,,,,,,
,,General,,,,,,,,,,
,,Equipment Tag Number,,TBD,-,,,,,,,
,,Service,,Offshore E-Tower (ELT) SOV/ERTV charging,-,,,,,,,
,,Applicable Codes,,IEC 60076 series; IEC 61892; Related Class Society rules,-,,,,,,,
,,Vendor Name,,,-,,,,,,,
,,Place of Manufacturer,,VTA,-,,,,,,,
,,Reference Specification,,TBD,-,,,,,,,
,,Purchase Order no.,,,-,,,,,,,
,,Type / Catalogue no.,,VTA,-,,,,,,,
,,Serial no.,,VTA,-,,,,,,,
,,Country of Origin for Main Parts:,,,-,,,,,,,
,, - Frame,,VTA,-,,,,,,,
,, - Core,,VTA,-,,,,,,,
,, - Windings,,VTA,-,,,,,,,
,, - Tank,,VTA,-,,,,,,,
,,Country of Local Service Organisation,,VTA,-,,,,,,,
,,Service Conditions,,,,,,,,,,
,,Location,,"Offshore, Outdoor (Open platform under a canopy, exposed to salt spray)",-,,,,,,,
,,Ambient Air Temperature,,"Min: -20 °C, Max: 45 °C",°C,,,,,,,
,,Relative Humidity,,"100% (Salt laden, corrosive environment)",%,,,,,,,
,,Altitude,,Above Sea level - Approx. 20 meters,-,,,,,,,
,,Direct Sunlight,,Yes,-,,,,,,,
,,Area Classification (IEC 60079-10),,N/A,-,,,,,,,
,,Gas Group,,N/A,-,,,,,,,
,,Temperature Class,,N/A,-,,,,,,,
,,Certificate no.,,N/A,-,,,,,,,
,,Vibration at Transformer Mounting Location,,(See Hold Note 6),-,,,,,,,
,,Acceleration Withstand:,,,,,,,,,,
,, - Horizontal,,TBD - Requirement to be confirmed by Structural,m/s2,,,,,,,
,, - Vertical,-,TBD - Requirement to be confirmed by Structural,m/s2,,,,,,,
,,Power System Data,,,,,,,,,,
,,System Voltage (Unom),,66,kV,,,,,,,
,,Rated Frequency,,50,Hz,,,,,,,
,,No of Phases,,3,-,,,,,,,
,,Voltage Variation ,,±10 (See Hold Note 2),%,,,,,,,
,,Frequency Variation ,,±1 (See Hold Note 2),%,,,,,,,
,,System Short Circuit Capacity: ,,,-,,,,,,,
,, - Maximum,,(See Hold Note 1),"MVA, secs",,,,,,,
,, - Minimum,,(See Hold Note 1),"MVA, secs",,,,,,,
,,Earthing (See Hold Note 1),,,-,,,,,,,
,,Design Life,,30,Years,,,,,,,
,,Basic Performance,,,,,,,,,,
,,Duty,,Step-down Transformer,-,,,,,,,
,,Parallel Operation Required,,No,-,,,,,,,
,,Type of Cooling (See Note 3),,VTA (Natural Cooling Only),-,,,,,,,
,,Minimum Required Output Rating,,10,MVA,,,,,,,
,,Vector Group,,Dyn11,-,,,,,,,
,,System Earthing:,,,-,,,,,,,
,, - HV Winding,,No Neutral Brought Out,-,,,,,,,
,, - LV Winding,,,-,,,,,,,
,,Impedance Type,,,-,,,,,,,
,,Resistance Value ,,(See Hold Note 5),Ohm,,,,,,,
,,Rated Voltage:,,,-,,,,,,,
,, - HV Winding,,66,kV,,,,,,,
,, - LV Winding,,11,kV,,,,,,,
,,Short Circuit Impedance,,VTA,%,,,,,,,
,,Highest Voltage for Equipment (Um):,,,-,,,,,,,
,, - HV Winding,,72.5,kV,,,,,,,
,, - LV Winding,,12,kV,,,,,,,
,,Lightning Impulse Level (LI):,,,-,,,,,,,
,, - HV Winding,,325,kV peak,,,,,,,
,, - LV Winding,,75,kV peak,,,,,,,
,,Neutral Bushing Insulation Level:,,,-,,,,,,,
,, - Um ,,12,kV,,,,,,,
,, - LI Level,,75,kV peak,,,,,,,
,,Explosion Protection (IEC 60079),,N/A,-,,,,,,,
,,Enclosure Protection (IEC 60529):,,,-,,,,,,,
,, - Casing (See Note 3),,VTA,-,,,,,,,
,, - Power Terminal Boxes (HV & LV),,IP 66,-,,,,,,,
,, - Marshalling Box (if applicable),,IP 66,-,,,,,,,
,,Temperature Rise Class,,Per applicable part of IEC 60076,-,,,,,,,
,,Noise at 1 meter (max 77 dBA),,VTA,dBA,,,,,,,
,,Top Coat Color (See Note 6):,,VTA,RAL,,,,,,,
,,Terminations,,,,,,,,,,
,,HV Winding:,,,-,,,,,,,
,, - Busduct L x W,,N/A,mm x mm,,,,,,,
,, - Cable Number / Size (See Hold Note 1),,?? / ??,mm²,,,,,,,
,, - Overall Diameter ,,(See Hold Note 3),mm,,,,,,,
,, - Cable Gland Make & Type,,VTA,-,,,,,,,
,, - Direction of Cable Entry,,VTA,-,,,,,,,
,,LV Winding:,,,-,,,,,,,
,, - Busduct L x W,,N/A,mm x mm,,,,,,,
,, - Cable Number / Size (See Hold Note 4),,3 / 1C x 240 mm²,mm²,,,,,,,
,, - Overall Diameter ,,(See Hold Note 3),mm,,,,,,,
,, - Cable Gland Make & Type,,VTA,-,,,,,,,
,, - Direction of Cable Entry,,Side,-,,,,,,,
,,Neutral:,,,,,,,,,,
,, - Neutral Bushing Location ,,VTA,-,,,,,,,
,, - Cable Number / Size (See Note 12),,1 / 1C x 50 mm²,mm²,,,,,,,
,, - Overall Diameter ,,(See Hold Note 3),mm,,,,,,,
,, - Cable Gland Make & Type,,VTA,-,,,,,,,
,, - Direction of Cable Entry,,Side,-,,,,,,,
