,,,,,,,,,,,,,MAGP-G-100-LQ-6431-307
,,,,,,,Project: EPC Demo Buoy,,,,
,,,,,,,E-Tower,,,,,,
,,,,,,,,,,,,,
SL. NO,REV,"TECHNICAL 
PARTICULARS","PURCHASER'S
REQUIREMENTS",,UNIT,,"VENDOR'S
RESPONSE",,,,,
,,,,,,,,,,,,,
Equipment Description/Tag No.:  66kV/11kV Power Transformer / Tag No. TBD,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Terminations (continued),,,,,,,,,,,
,,Marshalling Box:,,,,-,,,,,,,
,, - Cable Number / Size (Based on Information From Note 10),,VTA,,mm²,,,,,,,
,, - Overall Diameter ,,(See Hold Note 3),,mm,,,,,,,
,, - Cable Gland Make & Type,,VTA,,-,,,,,,,
,, - Direction of Cable Entry,,Side,,-,,,,,,,
,,Protection Device Wiring:,,,,-,,,,,,,
,, - Cable Number / Size (Based on Information From Note 13),,VTA,,mm²,,,,,,,
,, - Overall Diameter ,,(See Hold Note 3),,mm,,,,,,,
,, - Cable Gland Make & Type,,VTA,,-,,,,,,,
,, - Direction of Cable Entry,,Side,,-,,,,,,,
,,External Earthing Connection,,(See Hold Note 1),,-,,,,,,,
,,Tappings,,,,,,,,,,,
,,Taps Required,,Yes,,-,,,,,,,
,,Tapping Range,,± 2 x 2.5%,,-,,,,,,,
,,No. of Tapping Positions,,5,,ea,,,,,,,
,,Tap Changer Type,,Off-circuit,,-,,,,,,,
,,Tap Changer Location,,HV Winding,,-,,,,,,,
,,Accessories,,,,,,,,,,,
,,Control Equipment,,Yes,,-,,,,,,,
,,Provision for Future Cooling,,No,,-,,,,,,,
,,Sealing / Expansion System (See Note 9),,VTA,,-,,,,,,,
,,Liquid Level Indicator (if liquid-immersed),,Yes,,-,,,,,,,
,,Top Liquid Temperature Indicator (if liquid-immersed),,Yes,,-,,,,,,,
,,Signal Provisions ,,(See Note 10),,-,,,,,,,
,,Lightning Arresters:,,Yes,,-,,,,,,,
,, - Rated voltage (See Note 11),,60,,kV,,,,,,,
,, - Mounting Arrangement,,VTA,,-,,,,,,,
,,Winding Temperature Detectors:,,Yes,,-,,,,,,,
,, - Detector Type,,VTA,,-,,,,,,,
,, - Number per Phase,,VTA,,-,,,,,,,
,,Surge Capacitors,,VTA,,-,,,,,,,
,,Anti-Condensation Heaters (Boxes),,Yes,,-,,,,,,,
,,Padlock Facilities,,Yes,,-,,,,,,,
,,Pressure Relief Device (if liquid-immersed),,Yes,,-,,,,,,,
,,Gas / Pressure / Temperature Protection Relay (if liquid-immersed),,Yes,,-,,,,,,,
,,"Filling, Drain & Sampling Valves (if liquid-immersed)",,Yes,,-,,,,,,,
,,Current Transformers,,,,,,,,,,,
,,Neutral CT:,,Yes,,-,,,,,,,
,, - Total Quantity,,1,,ea,,,,,,,
,, - Ratio (Primary Rating based on Hold Note 5),,--- / 1 A,,-,,,,,,,
,, - Rating,,5,,VA,,,,,,,
,, - Class,,5P20,,-,,,,,,,
,,Differential Protection CT (HV Side):,,Yes,,-,,,,,,,
,, - Total Quantity,,3 (1 per phase),,ea,,,,,,,
,, - Ratio ,,100 A / 1 A,,-,,,,,,,
,, - Class,,PX (See Note 14),,-,,,,,,,
,,Differential Protection CT (LV Side):,,Yes,,-,,,,,,,
,, - Total Quantity,,3 (1 per phase),,ea,,,,,,,
,, - Ratio ,,600 A / 1 A,,-,,,,,,,
,, - Class,,PX (See Note 14),,-,,,,,,,
,,Condition Monitoring,,,,,,,,,,,
,,Partial Discharge Monitoring,,No,,-,,,,,,,
,,DGA Sampling Provision (if liquid-immersed),,Yes,,-,,,,,,,
,,Electrical Performance,,,,,,,,,,,
,,Rated Power (@ site conditions):,,VTA,,kVA,,,,,,,
,,Rated Current:,,,,,,,,,,,
,, - HV Side,,VTA,,A,,,,,,,
,, - LV Side,,VTA,,A,,,,,,,
,,Nominal Impedance Voltage @ Reference Temperature and Tap Changer in Mid. Position,,VTA,,%,,,,,,,
,,Impedance Variation @ +5% Tap,,VTA,,% Nominal Impedance,,,,,,,
,,Impedance Variation @ -5% Tap,,VTA,,% Nominal Impedance,,,,,,,
,,Impedance Tolerance,,VTA,,+ % to - %,,,,,,,
,,Positive sequence impedance,,VTA,,%,,,,,,,
,,Negative sequence impedance,,VTA,,%,,,,,,,
,,Zero sequence impedance,,VTA,,%,,,,,,,
,,X/R ratio,,VTA,,-,,,,,,,
,,No load loss at 100% V,,VTA,,W,,,,,,,
,,No Load current at 100% V,,VTA,,A,,,,,,,
,,Inrush current,,VTA,,A,,,,,,,
,,Time to 1/2 Peak Current,,VTA,,sec,,,,,,,
,,Load loss @ Reference Temperature with:,,,,,,,,,,,
,, - Tap Changer in Max. Position,,VTA,,W,,,,,,,
,, - Tap Changer in Mid. Position,,VTA,,W,,,,,,,
,, - Tap Changer in Min. Position,,VTA,,W,,,,,,,
,,Efficiency @ Reference Temperature:,,PF=1,PF=0.8,,,,,,,,
,, - 100% load,,VTA,VTA,%,,,,,,,
,, - 75% load,,VTA,VTA,%,%,,,,,,
,, - 50% load,,VTA,VTA,%,%,,,,,,
,,Short Circuit Current,,VTA,,A,A,,,,,,
,,Short Circuit Duration,,VTA,,sec,sec,,,,,,
,,Construction Data,,,,,,,,,,,
,,Winding Type,,VTA,,,,,,,,,
,,Overall Dimensions  (W x D x H),,VTA,,mm x mm x mm,,,,,,,
,,Total Weight ,,VTA,,kg,,,,,,,
,,Enclosure Material,,VTA,,-,,,,,,,
,,Lifting Eyes,,Yes,,-,,,,,,,
,,Fixing Accessories,,Yes,,-,,,,,,,
,,Insulation System,,VTA,,-,,,,,,,
,,Insulating Liquid Type (if liquid-immersed),,VTA,,-,,,,,,,
,,Insulating Liquid Volume / Mass (if liquid-immersed),,VTA,,L / kg,,,,,,,
,,Inspection and Testing,,,,,,,,,,,
,,Routine Tests (As per Applicable IEC 60076 Series):,,,,-,,,,,,,
,, - Witnessed,,Yes,,-,,,,,,,
,, - Test Reports required,,Yes,,-,,,,,,,
,,Type Tests (As per Applicable IEC 60076 Series):,,,,-,,,,,,,
,, - Witnessed,,No,,-,,,,,,,
,, - Test Certificates / Reports required,,Yes,,-,,,,,,,
